,date,p_change,pred
459,2021-01-11,2.09,3.0
460,2021-01-12,1.37,3.0
461,2021-01-13,4.04,3.0
462,2021-01-14,0.86,3.0
463,2021-01-15,-0.86,3.0
464,2021-01-18,-0.86,3.0
465,2021-01-19,-1.09,3.0
466,2021-01-20,-1.76,3.0
467,2021-01-21,-0.67,3.0
468,2021-01-22,-2.03,3.0
469,2021-01-25,-1.38,2.0
470,2021-01-26,1.64,2.0
471,2021-01-27,-0.69,2.0
472,2021-01-28,-1.85,2.0
473,2021-01-29,-1.18,2.0
474,2021-02-01,-0.24,2.0
475,2021-02-02,0.24,2.0
476,2021-02-03,-1.43,2.0
477,2021-02-04,-2.42,2.0
478,2021-02-05,0.0,2.0
479,2021-02-08,0.74,2.0
480,2021-02-09,0.74,2.0
481,2021-02-10,0.0,2.0
482,2021-02-18,3.18,2.0
483,2021-02-19,4.03,2.0
484,2021-02-22,2.05,2.0
485,2021-02-23,-2.23,2.0
486,2021-02-24,-0.46,2.0
487,2021-02-25,1.15,2.0
488,2021-02-26,-1.81,2.0
489,2021-03-01,3.46,2.0
490,2021-03-02,-2.23,2.0
491,2021-03-03,1.37,2.0
492,2021-03-04,-0.68,2.0
493,2021-03-05,0.45,2.0
494,2021-03-08,1.58,2.0
495,2021-03-09,-2.22,2.0
496,2021-03-10,-0.46,2.0
497,2021-03-11,0.91,2.0
498,2021-03-12,1.36,2.0
499,2021-03-15,1.34,2.0
500,2021-03-16,0.66,2.0
501,2021-03-17,-1.53,2.0
502,2021-03-18,-0.22,2.0
503,2021-03-19,-2.67,2.0
504,2021-03-22,0.46,2.0
505,2021-03-23,-2.05,2.0
506,2021-03-24,-1.63,2.0
507,2021-03-25,0.0,2.0
508,2021-03-26,0.47,2.0
509,2021-03-29,-0.23,2.0
510,2021-03-30,-0.24,2.0
511,2021-03-31,0.95,2.0
512,2021-04-01,0.23,2.0
513,2021-04-02,0.0,2.0
514,2021-04-06,-0.47,2.0
515,2021-04-07,0.0,2.0
516,2021-04-08,-0.7,2.0
517,2021-04-09,-0.95,2.0
518,2021-04-12,-0.48,2.0
519,2021-04-13,-0.72,2.0
520,2021-04-14,0.24,2.0
521,2021-04-15,-0.24,2.0
522,2021-04-16,1.45,2.0
523,2021-04-19,0.71,2.0
524,2021-04-20,-0.47,2.0
525,2021-04-21,-0.95,2.0
526,2021-04-22,1.44,2.0
527,2021-04-23,-0.95,2.0
528,2021-04-26,0.24,2.0
529,2021-04-27,0.48,2.0
530,2021-04-28,0.95,2.0
531,2021-04-29,0.0,2.0
532,2021-04-30,-0.23,2.0
533,2021-05-06,0.71,2.0
534,2021-05-07,0.7,2.0
535,2021-05-10,0.93,2.0
536,2021-05-11,-0.69,2.0
537,2021-05-12,-0.23,2.0
538,2021-05-13,-0.46,2.0
539,2021-05-14,1.17,2.0
540,2021-05-17,-0.23,2.0
541,2021-05-18,1.62,2.0
542,2021-05-19,0.0,2.0
543,2021-05-20,-0.46,2.0
544,2021-05-21,-0.23,2.0
545,2021-05-24,-0.23,2.0
546,2021-05-25,0.92,2.0
547,2021-05-26,-0.46,2.0
548,2021-05-27,0.23,2.0
549,2021-05-28,-1.14,2.0
550,2021-05-31,0.23,2.0
551,2021-06-01,-0.23,2.0
552,2021-06-02,-0.23,2.0
553,2021-06-03,0.23,2.0
554,2021-06-04,-0.69,2.0
555,2021-06-07,-0.93,2.0
556,2021-06-08,0.23,2.0
557,2021-06-09,1.4,2.0
558,2021-06-10,1.15,2.0
559,2021-06-11,3.65,2.0
560,2021-06-15,-1.54,2.0
561,2021-06-16,0.67,2.0
562,2021-06-17,0.22,2.0
563,2021-06-18,0.22,2.0
564,2021-06-21,-1.99,2.0
565,2021-06-22,-0.45,2.0
566,2021-06-23,0.0,2.0
567,2021-06-24,0.0,2.0
568,2021-06-25,0.91,2.0
569,2021-06-28,0.9,2.0
570,2021-06-29,-1.56,2.0
571,2021-06-30,-0.92,2.0
572,2021-07-01,0.0,2.0
573,2021-07-02,-0.93,2.0
574,2021-07-05,-0.23,2.0
575,2021-07-06,0.47,2.0
576,2021-07-07,-0.47,2.0
577,2021-07-08,-1.87,2.0
578,2021-07-09,0.0,2.0
579,2021-07-12,-0.24,2.0
580,2021-07-13,0.48,2.0
581,2021-07-14,-0.48,2.0
582,2021-07-15,0.24,2.0
583,2021-07-16,0.0,2.0
584,2021-07-19,3.1,2.0
585,2021-07-20,-1.62,2.0
586,2021-07-21,-0.47,2.0
587,2021-07-22,0.71,2.0
