date,open,high,close,low,volume,p_change
2019-06-24,6.23,6.27,6.23,6.19,1055433.0,-0.64
2019-06-25,6.24,6.24,6.15,6.11,1105927.62,-1.28
2019-06-26,6.13,6.21,6.17,6.09,628994.44,0.33
2019-06-27,6.14,6.27,6.21,6.12,1451992.0,1.47
2019-06-28,6.19,6.2,6.16,6.12,737273.62,-0.81
2019-07-01,6.29,6.34,6.33,6.21,2231935.25,2.76
2019-07-02,6.32,6.38,6.3,6.28,1193687.62,-0.47
2019-07-03,6.28,6.29,6.2,6.16,1130302.75,-1.59
2019-07-04,6.2,6.25,6.21,6.18,731671.44,0.16
2019-07-05,6.22,6.22,6.2,6.17,705261.81,-0.16
2019-07-08,6.18,6.19,6.01,5.97,1402994.12,-3.06
2019-07-09,5.97,6.0,5.96,5.88,956144.44,-0.83
2019-07-10,5.97,5.99,5.92,5.9,556286.69,-0.67
2019-07-11,5.97,6.03,5.96,5.92,606213.12,0.68
2019-07-12,5.95,6.0,5.96,5.89,523457.47,0.0
2019-07-15,5.92,6.03,5.98,5.84,864358.38,0.34
2019-07-16,5.98,6.03,6.0,5.96,603403.25,0.33
2019-07-17,5.99,6.02,5.99,5.96,524561.31,-0.17
2019-07-18,5.97,5.97,5.92,5.9,577679.69,-1.17
2019-07-19,5.94,5.99,5.93,5.92,500073.69,0.17
2019-07-22,5.94,5.95,5.83,5.82,768799.56,-1.69
2019-07-23,5.85,5.87,5.85,5.81,531324.81,0.34
2019-07-24,5.87,5.98,5.95,5.87,910596.69,1.71
2019-07-25,5.96,5.98,5.95,5.92,632190.62,0.0
2019-07-26,5.92,5.99,5.96,5.9,658275.88,0.17
2019-07-29,5.95,5.99,5.98,5.94,595099.19,0.34
2019-07-30,5.96,6.01,5.97,5.94,644165.62,-0.17
2019-07-31,5.94,5.96,5.93,5.92,486872.5,-0.67
2019-08-01,5.9,5.92,5.87,5.85,639074.0,-1.01
2019-08-02,5.75,5.75,5.71,5.69,1168252.25,-2.73
2019-08-05,5.69,5.72,5.61,5.61,862689.94,-1.75
2019-08-06,5.5,5.51,5.45,5.33,1389287.88,-2.85
2019-08-07,5.48,5.5,5.42,5.41,650607.81,-0.55
2019-08-08,5.45,5.48,5.45,5.42,570099.75,0.55
2019-08-09,5.46,5.48,5.29,5.28,1162279.88,-2.94
2019-08-12,5.3,5.42,5.41,5.29,839539.31,2.27
2019-08-13,5.36,5.44,5.41,5.32,777014.62,0.0
2019-08-14,5.47,5.52,5.42,5.39,654147.31,0.18
2019-08-15,5.33,5.77,5.74,5.3,2878932.5,5.9
2019-08-16,5.68,5.71,5.63,5.62,1554918.5,-1.92
2019-08-19,5.6,5.78,5.76,5.6,1719305.88,2.31
2019-08-20,5.89,6.11,5.98,5.86,3219150.5,3.82
2019-08-21,5.91,6.23,6.15,5.91,3119544.75,2.84
2019-08-22,6.16,6.23,6.15,6.06,1441318.25,0.0
2019-08-23,6.14,6.15,6.05,6.01,1147309.88,-1.63
2019-08-26,5.95,6.04,5.97,5.87,1395949.12,-1.32
2019-08-27,6.02,6.08,6.04,5.97,1726459.0,1.17
2019-08-28,6.03,6.03,5.93,5.9,945273.44,-1.82
2019-08-29,5.94,6.01,5.95,5.91,719481.44,0.34
2019-08-30,5.99,6.02,5.85,5.81,1026592.25,-1.68
2019-09-02,5.85,5.99,5.95,5.84,1013910.5,1.71
2019-09-03,5.96,6.03,5.99,5.94,1019439.0,0.67
2019-09-04,5.96,6.09,6.07,5.93,1410292.75,1.34
2019-09-05,6.12,6.18,6.03,6.01,2058366.5,-0.66
2019-09-06,6.07,6.28,6.19,6.05,2552826.5,2.65
2019-09-09,6.27,6.33,6.33,6.18,2556896.75,2.26
2019-09-10,6.9,6.96,6.69,6.55,6291394.0,5.69
2019-09-11,6.6,6.63,6.43,6.41,3425674.75,-3.89
2019-09-12,6.48,6.49,6.43,6.35,1856951.0,0.0
2019-09-16,6.43,6.45,6.38,6.33,1387098.62,-0.78
2019-09-17,6.36,6.39,6.21,6.18,1822689.12,-2.67
2019-09-18,6.25,6.25,6.18,6.16,967891.75,-0.48
2019-09-19,6.2,6.25,6.25,6.16,1155926.25,1.13
2019-09-20,6.24,6.25,6.19,6.15,1167745.0,-0.96
2019-09-23,6.17,6.18,6.11,6.06,1058191.5,-1.29
2019-09-24,6.13,6.28,6.19,6.09,1322708.25,1.31
2019-09-25,6.14,6.25,6.13,6.12,1137434.62,-0.97
2019-09-26,6.13,6.16,6.03,6.01,1002885.75,-1.63
2019-09-27,6.06,6.12,6.08,6.03,574184.88,0.83
2019-09-30,6.07,6.12,6.01,6.0,504943.0,-1.15
2019-10-08,6.01,6.12,6.03,6.01,633597.81,0.33
2019-10-09,6.0,6.07,6.06,5.96,475071.66,0.5
2019-10-10,6.05,6.11,6.09,6.03,749842.75,0.49
2019-10-11,6.11,6.13,6.12,6.01,911723.62,0.49
2019-10-14,6.16,6.22,6.15,6.12,1390089.88,0.49
2019-10-15,6.15,6.25,6.19,6.1,1278035.75,0.65
2019-10-16,6.17,6.23,6.1,6.09,890044.56,-1.45
2019-10-17,6.09,6.21,6.19,6.08,795337.69,1.48
2019-10-18,6.22,6.24,6.09,6.08,855210.31,-1.62
2019-10-21,6.08,6.17,6.16,6.0,853899.38,1.15
2019-10-22,6.15,6.16,6.08,6.02,1194947.38,-1.3
2019-10-23,6.06,6.08,5.92,5.89,1404823.0,-2.63
2019-10-24,5.93,5.95,5.92,5.89,619950.19,0.0
2019-10-25,5.91,5.96,5.95,5.85,764857.44,0.51
2019-10-28,6.03,6.2,6.19,6.02,2094862.75,4.03
2019-10-29,6.16,6.18,6.1,6.09,1040410.0,-1.45
2019-10-30,6.06,6.23,6.13,6.02,1216630.38,0.49
2019-10-31,6.16,6.22,6.14,6.11,1220161.25,0.16
2019-11-01,6.15,6.21,6.16,6.11,1010987.56,0.33
2019-11-04,6.18,6.23,6.16,6.15,1137439.88,0.0
2019-11-05,6.18,6.2,6.18,6.11,1058923.12,0.33
2019-11-06,6.17,6.2,6.08,6.04,930631.69,-1.62
2019-11-07,6.07,6.1,6.05,6.03,757456.0,-0.49
2019-11-08,6.07,6.1,5.96,5.96,1196918.5,-1.49
2019-11-11,5.93,5.93,5.81,5.8,1284161.0,-2.52
2019-11-12,5.82,5.85,5.84,5.73,739955.69,0.52
2019-11-13,5.8,5.88,5.85,5.76,615084.75,0.17
2019-11-14,5.84,5.87,5.85,5.82,502987.94,0.0
2019-11-15,5.85,5.85,5.75,5.74,802222.5,-1.71
2019-11-18,5.75,5.81,5.79,5.75,485559.22,0.7
2019-11-19,5.79,5.88,5.88,5.76,601978.19,1.55
2019-11-20,5.85,5.92,5.85,5.83,484863.75,-0.51
2019-11-21,5.82,5.86,5.83,5.78,417879.47,-0.34
2019-11-22,5.84,5.88,5.79,5.76,558183.81,-0.69
2019-11-25,5.8,5.82,5.78,5.73,555073.75,-0.17
2019-11-26,5.8,5.86,5.83,5.8,876359.31,0.86
2019-11-27,5.79,5.83,5.78,5.77,438342.12,-0.86
2019-11-28,5.77,5.79,5.73,5.69,654422.75,-0.86
